WORD,A,ADV,C,D,N,P,PRO,V,TOTAL
hartsfield,0,0,0,0,5,0,0,0,5
filed,0,0,0,0,0,0,0,33,33
suit,0,0,0,0,40,0,0,8,48
divorce,0,0,0,0,23,0,0,6,29
his,0,0,0,0,2,0,6994,0,6996
wife,0,0,0,0,228,0,0,0,228
pearl,0,0,0,0,9,0,0,0,9
williams,0,0,0,0,32,0,0,0,32
petition,0,0,0,0,14,0,0,1,15
mental,43,0,0,0,0,0,0,0,43
cruelty,0,0,0,0,13,0,0,0,13
couple,0,0,0,0,122,0,0,0,122
married,0,0,0,0,0,0,0,105,105
aug.,0,0,0,0,25,0,0,0,25
1913,12,0,0,0,0,0,0,0,12
son,0,0,0,0,165,0,0,0,165
berry,0,0,0,0,9,0,0,0,9
daughter,0,0,0,0,72,0,0,0,72
mrs.,0,0,0,0,534,0,0,0,534
j.,0,0,0,0,120,0,0,0,120
m.,0,0,0,0,62,0,0,0,62
cheshire,0,0,0,0,1,0,0,0,1
griffin,0,0,0,0,4,0,0,0,4
attorneys,0,0,0,0,9,0,0,0,9
amicable,1,0,0,0,0,0,0,0,1
property,0,0,0,0,156,0,0,0,156
settlement,0,0,0,0,26,0,0,0,26
agreed,0,0,0,0,0,0,0,81,81
upon,0,44,0,0,0,451,0,0,495
listed,0,0,0,0,0,0,0,44,44
mayor's,0,0,0,0,9,0,0,0,9
occupation,0,0,0,0,24,0,0,0,24
attorney,0,0,0,0,65,0,0,0,65
age,0,0,0,0,225,0,0,2,227
71,10,0,0,0,0,0,0,0,10
wife's,0,0,0,0,15,0,0,0,15
74,6,0,0,0,0,0,0,0,6
birth,0,0,0,0,66,0,0,0,66
opelika,0,0,0,0,2,0,0,0,2
ala.,0,0,0,0,7,0,0,0,7
lived,0,0,0,0,0,0,0,115,115
together,0,267,0,0,0,0,0,0,267
man,0,0,0,0,1203,0,0,3,1206
more,0,1212,0,0,14,989,0,0,2215
than,0,0,1292,0,0,497,0,0,1789
year,0,0,0,0,658,0,0,0,658
home,0,0,0,0,546,0,0,1,547
637,1,0,0,0,0,0,0,0,1
e.,1,0,0,0,85,0,0,0,86
pelham,0,0,0,0,5,0,0,0,5
rd.,0,0,0,0,3,0,0,0,3
aj,0,0,0,0,118,0,0,0,118
henry,0,0,0,0,83,0,0,0,83
l.,0,0,0,0,56,0,0,0,56
bowden,0,0,0,0,2,0,0,0,2
brief,64,0,0,0,9,0,0,0,73
interlude,0,0,0,0,5,0,0,0,5
since,0,29,419,0,0,180,0,0,628
1937,10,0,0,0,0,0,0,0,10
career,0,0,0,0,67,0,0,0,67
goes,0,0,0,0,0,0,0,89,89
back,29,734,0,0,178,0,0,25,966
council,0,0,0,0,103,0,0,0,103
1923,7,0,0,0,0,0,0,0,7
present,224,64,0,0,45,5,0,39,377
expires,0,0,0,0,0,0,0,1,1
he,0,0,0,0,2,0,9546,0,9548
succeeded,0,0,0,0,0,0,0,33,33
who,0,0,0,0,0,0,2252,0,2252
became,0,0,0,0,0,0,0,246,246
candidate,0,0,0,0,34,0,0,0,34
sept.,0,0,0,0,34,0,0,0,34
13,46,0,0,0,0,0,0,0,46
after,0,11,359,0,0,699,0,0,1069
announced,0,0,0,0,0,0,0,88,88
would,0,0,0,0,0,0,0,2710,2710
run,0,0,0,0,55,0,0,157,212
reelection,0,0,0,0,2,0,0,0,2
georgia,0,0,0,0,46,0,0,0,46
republicans,0,0,0,0,29,0,0,0,29
getting,0,0,0,0,2,0,0,162,164
strong,198,3,0,0,1,0,0,0,202
encouragement,0,0,0,0,14,0,0,0,14
enter,0,0,0,0,0,0,0,78,78
1962,35,0,0,0,0,0,0,0,35
governor's,0,0,0,0,14,0,0,0,14
race,0,0,0,0,99,0,0,4,103
top,72,0,0,0,129,0,0,3,204
official,55,0,0,0,20,0,0,0,75
wednesday,0,0,0,0,35,0,0,0,35
robert,0,0,0,0,83,0,0,0,83
snodgrass,0,0,0,0,2,0,0,0,2
gop,0,0,0,0,13,0,0,0,13
chairman,0,0,0,0,67,0,0,0,67
meeting,0,0,0,0,125,0,0,34,159
held,0,0,0,0,0,0,0,264,264
tuesday,0,0,0,0,58,0,0,0,58
blue,126,0,0,0,17,0,0,0,143
ridge,0,0,0,0,18,0,0,0,18
brought,0,0,0,0,0,0,0,253,253
enthusiastic,24,0,0,0,0,0,0,0,24
responses,0,0,0,0,28,0,0,0,28
audience,0,0,0,0,115,0,0,0,115
party,0,0,0,0,215,0,0,1,216
james,0,0,0,0,101,0,0,0,101
w.,2,0,0,0,82,0,0,0,84
dorsey,0,0,0,0,1,0,0,0,1
enthusiasm,0,0,0,0,28,0,0,0,28
picking,0,0,0,0,1,0,0,13,14
up,0,1711,0,0,0,179,0,0,1890
rally,0,0,0,0,5,0,0,5,10
8,96,0,0,0,0,0,0,0,96
savannah,0,0,0,0,9,0,0,0,9
newly,2,26,0,0,0,0,0,0,28
texas,0,0,0,0,69,0,0,0,69
sen.,0,0,0,0,30,0,0,0,30
john,0,0,0,0,362,0,0,0,362
tower,0,0,0,0,13,0,0,0,13
featured,0,0,0,0,0,0,0,8,8
speaker,0,0,0,0,49,0,0,0,49
warned,0,0,0,0,0,0,0,22,22
entering,0,0,0,0,0,0,0,24,24
governor,0,0,0,0,83,0,0,0,83
force,0,0,0,0,206,0,0,24,230
petitions,0,0,0,0,7,0,0,1,8
out,0,1642,0,0,0,452,1,0,2095
voting,0,0,0,0,7,0,0,23,30
precincts,0,0,0,0,5,0,0,0,5
obtain,0,0,0,0,0,0,0,42,42
signatures,0,0,0,0,5,0,0,0,5
registered,0,0,0,0,0,0,0,23,23
despite,0,0,0,0,0,104,0,0,104
warning,0,0,0,0,18,0,0,26,44
unanimous,5,0,0,0,0,0,0,0,5
vote,0,0,0,0,49,0,0,26,75
according,0,10,0,0,0,128,0,2,140
attended,0,0,0,0,0,0,0,36,36
crowd,0,0,0,0,51,0,0,2,53
asked,0,0,0,0,0,0,0,398,398
whether,0,0,286,0,0,0,0,0,286
wanted,0,0,0,0,0,0,0,226,226
wait,0,0,0,0,12,0,0,82,94
make,0,0,0,0,3,0,0,791,794
voted,0,0,0,0,0,0,0,27,27
were,0,0,0,0,0,0,0,3284,3284
dissents,0,0,0,0,2,0,0,0,2
largest,53,0,0,0,0,0,0,0,53
hurdle,0,0,0,0,2,0,0,1,3
face,0,0,0,0,320,0,0,51,371
says,0,0,0,0,3,0,0,197,200
before,0,160,447,0,1,407,0,0,1015
making,0,0,0,0,24,0,0,231,255
first,1029,330,0,0,0,0,0,0,1359
alternative,9,0,0,0,25,0,0,0,34
courses,0,0,0,0,61,0,0,0,61
must,0,0,0,0,5,0,0,1002,1007
taken,0,0,0,0,0,0,0,281,281
five,283,0,0,0,0,0,0,0,283
per,0,0,0,0,0,371,0,0,371
cent,0,0,0,0,155,0,0,0,155
each,0,0,0,877,0,0,0,0,877
sign,0,0,0,0,76,0,0,18,94
requesting,0,0,0,0,0,0,0,8,8
allowed,0,0,0,0,0,0,0,86,86
names,0,0,0,0,88,0,0,1,89
candidates,0,0,0,0,38,0,0,0,38
ballot,0,0,0,0,12,0,0,0,12
hold,0,0,0,0,25,0,0,144,169
unit,0,0,0,0,103,0,0,0,103
system,0,0,0,0,416,0,0,0,416
opposes,0,0,0,0,0,0,0,2,2
platform,0,0,0,0,72,0,0,0,72
sam,0,0,0,0,79,0,0,0,79
caldwell,0,0,0,0,3,0,0,0,3
highway,0,0,0,0,40,0,0,0,40
public,303,0,0,0,135,0,0,0,438
relations,0,0,0,0,102,0,0,0,102
director,0,0,0,0,101,0,0,0,101
resigned,0,0,0,0,0,0,0,9,9
lt.,0,0,0,0,8,0,0,0,8
gov.,0,0,0,0,19,0,0,0,19
garland,0,0,0,0,9,0,0,0,9
byrd's,0,0,0,0,3,0,0,0,3
campaign,0,0,0,0,76,0,0,5,81
caldwell's,0,0,0,0,2,0,0,0,2
resignation,0,0,0,0,7,0,0,0,7
expected,0,0,0,0,0,0,0,187,187
time,0,0,0,0,1597,0,0,1,1598
rob,0,0,0,0,17,0,0,2,19
ledford,0,0,0,0,1,0,0,0,1
gainesville,0,0,0,0,1,0,0,0,1
assistant,15,0,0,0,21,0,0,0,36
three,606,0,0,0,0,0,0,0,606
years,0,0,0,0,950,0,0,0,950
gubernatorial,7,0,0,0,0,0,0,0,7
starts,0,0,0,0,10,0,0,21,31
become,0,0,0,0,0,0,0,359,359
coordinator,0,0,0,0,5,0,0,0,5
byrd,0,0,0,0,9,0,0,0,9
wind,0,0,0,0,56,0,0,7,63
1961,133,0,0,0,0,0,0,0,133
session,0,0,0,0,80,0,0,0,80
monday,0,0,0,0,68,0,0,0,68
head,4,0,0,0,407,0,0,13,424
where,0,931,0,0,0,0,0,0,931
bond,0,0,0,0,46,0,0,0,46
approved,0,0,0,0,0,0,0,40,40
shortly,0,34,0,0,0,0,0,0,34
adjournment,0,0,0,0,4,0,0,0,4
afternoon,0,0,0,0,106,0,0,0,106
senate,0,0,0,0,62,0,0,0,62
approve,0,0,0,0,0,0,0,14,14
study,0,0,0,0,203,0,0,43,246
allotted,0,0,0,0,0,0,0,10,10
rural,54,0,0,0,0,0,0,0,54
urban,42,0,0,0,0,0,0,0,42
areas,0,0,0,0,236,0,0,0,236
determine,0,0,0,0,0,0,0,107,107
what,0,0,0,1869,0,0,10,0,1879
adjustments,0,0,0,0,20,0,0,0,20
made,0,0,0,0,3,0,0,1122,1125
vandiver,0,0,0,0,6,0,0,0,6
traditional,78,0,0,0,0,0,0,0,78
visit,0,0,0,0,59,0,0,50,109
chambers,0,0,0,0,11,0,0,0,11
toward,0,0,0,0,0,384,0,0,384
likely,126,25,0,0,0,0,0,0,151
mention,0,0,0,0,17,0,0,33,50
$100,0,0,0,0,12,0,0,0,12
million,204,0,0,0,0,0,0,0,204
issue,0,0,0,0,137,0,0,15,152
earlier,76,70,0,0,0,0,0,0,146
priority,0,0,0,0,18,0,0,0,18
item,0,0,0,0,55,0,0,0,55
construction,0,0,0,0,95,0,0,0,95
bonds,0,0,0,0,47,0,0,0,47
meanwhile,0,35,0,0,0,0,0,0,35
learned,4,0,0,0,1,0,0,112,117
very,1,702,0,0,0,93,0,0,796
near,17,21,0,0,0,156,0,4,198
being,0,0,0,0,31,0,0,681,712
ready,141,0,0,0,0,0,0,2,143
$30,0,0,0,0,2,0,0,0,2
worth,71,0,0,0,23,0,0,0,94
reconstruction,0,0,0,0,11,0,0,0,11
go,0,0,0,0,1,0,0,625,626
courts,0,0,0,0,49,0,0,1,50
friendly,61,0,0,0,0,0,0,0,61
test,0,0,0,0,101,0,0,18,119
validity,0,0,0,0,15,0,0,0,15
then,26,1351,2,0,1,0,0,0,1380
sales,0,0,0,0,133,0,0,0,133
begin,0,0,0,0,0,0,0,84,84
contracts,0,0,0,0,19,0,0,5,24
let,0,0,0,0,7,0,0,377,384
repair,0,0,0,0,15,0,0,5,20
most,0,681,0,0,0,478,0,0,1159
heavily,0,60,0,0,0,0,0,0,60
traveled,0,0,0,0,0,0,0,22,22
highways,0,0,0,0,16,0,0,0,16
source,0,0,0,0,94,0,0,0,94
$3,0,0,0,0,3,0,0,0,3
$4,0,0,0,0,5,0,0,0,5
roads,0,0,0,0,58,0,0,0,58
authority,0,0,0,0,93,0,0,0,93
road,0,0,0,0,197,0,0,0,197
revolving,0,0,0,0,0,0,0,6,6
fund,0,0,0,0,62,0,0,0,62
apparently,0,125,0,0,0,0,0,0,125
intends,0,0,0,0,0,0,0,6,6
issued,0,0,0,0,0,0,0,50,50
every,0,0,0,0,0,491,0,0,491
old,661,0,0,0,0,0,0,0,661
ones,0,0,0,0,116,0,0,0,116
paid,0,0,0,0,0,0,0,145,145
off,0,482,0,0,0,156,0,0,638
authorities,0,0,0,0,39,0,0,0,39
opened,0,0,0,0,0,0,0,131,131
1958,91,0,0,0,0,0,0,0,91
battle,0,0,0,0,84,0,0,3,87
against,0,2,0,0,0,624,0,0,626
issuance,0,0,0,0,7,0,0,0,7
$50,1,0,0,0,6,0,0,0,7
marvin,0,0,0,0,9,0,0,0,9
told,0,0,0,0,0,0,0,413,413
constitution,0,0,0,0,49,0,0,0,49
consulted,0,0,0,0,0,0,0,17,17
yet,0,286,133,0,0,0,0,0,419
about,0,574,0,0,1,1238,0,0,1813
plans,0,0,0,0,102,0,0,11,113
schley,0,0,0,0,1,0,0,0,1
rep.,0,0,0,0,13,0,0,0,13
d.,0,0,0,0,65,0,0,0,65
offer,0,0,0,0,12,0,0,68,80
resolution,0,0,0,0,64,0,0,0,64
house,0,0,0,0,582,0,0,9,591
rescind,0,0,0,0,0,0,0,2,2
body's,0,0,0,0,3,0,0,0,3
action,0,0,0,0,291,0,0,0,291
itself,0,0,0,0,0,0,304,0,304
$10,0,0,0,0,7,0,0,0,7
day,0,0,0,0,687,0,0,0,687
increase,0,0,0,0,113,0,0,82,195
expense,0,0,0,0,50,0,0,0,50
allowances,0,0,0,0,25,0,0,0,25
sunday,0,0,0,0,101,0,0,0,101
research,0,0,0,0,171,0,0,0,171
done,0,0,0,0,0,0,0,319,319
quickie,0,0,0,0,2,0,0,0,2
can,0,0,0,0,8,0,0,1762,1770
repealed,0,0,0,0,0,0,0,3,3
outright,5,4,0,0,0,0,0,0,9
notice,0,0,0,0,30,0,0,29,59
given,0,0,0,0,1,0,0,376,377
reconsideration,0,0,0,0,4,0,0,0,4
sought,0,0,0,0,0,0,0,55,55
while,0,0,599,0,78,0,0,2,679
emphasizing,0,0,0,0,0,0,0,4,4
technical,120,0,0,0,0,0,0,0,120
details,0,0,0,0,57,0,0,0,57
fully,0,80,0,0,0,0,0,0,80
worked,0,0,0,0,0,0,0,128,128
seek,0,0,0,0,0,0,0,69,69
set,0,0,0,0,89,0,0,325,414
aside,0,67,0,0,0,0,0,0,67
privilege,0,0,0,0,18,0,0,0,18
87-31,1,0,0,0,0,0,0,0,1
similar,157,0,0,0,0,0,0,0,157
passed,0,0,0,0,0,0,0,157,157
